Sharper decoder (pixel shuffle), buggy content/context heads
Epochs: 60


Epoch,Loss
1,4.4038
2,4.3348
3,4.2734
4,4.2398
5,4.2082
6,4.1794
7,4.1544
8,4.1276
9,4.1065
10,4.0873
11,4.0662
12,4.0470
13,4.0278
14,4.0048
15,3.9933
16,3.9741
17,3.9626
18,3.9492
19,3.9300
20,3.9223
21,3.9089
22,3.8935
23,3.8820
24,3.8743
25,3.8552
26,3.8417
27,3.8398
28,3.8264
29,3.8149
30,3.8053
31,3.7976
32,3.7880
33,3.7765
34,3.7707
35,3.7631
36,3.7554
37,3.7458
38,3.7381
39,3.7324
40,3.7209
41,3.7170
42,3.7055
43,3.6998
44,3.6940
45,3.6863
46,3.6806
47,3.6729
48,3.6710
49,3.6652
50,3.6576
51,3.6576
52,3.6508
53,3.6422
54,3.6326
55,3.6307
56,3.6249
57,3.6211
58,3.6153
59,3.6077
60,3.6077
