Unfreeze text decoder + GRU-64
Epochs: 60

Epoch,Loss
1,4.3814
2,4.3219
3,4.2735
4,4.2400
5,4.2093
6,4.1842
7,4.1544
8,4.1358
9,4.1079
10,4.0865
11,4.0670
12,4.0484
13,4.0316
14,4.0130
15,3.9963
16,3.9795
17,3.9609
18,3.9460
19,3.9312
20,3.9219
21,3.9070
22,3.8940
23,3.8828
24,3.8716
25,3.8567
26,3.8623
27,3.8474
28,3.8363
29,3.8251
30,3.8195
31,3.8102
32,3.7953
33,3.7879
34,3.7786
35,3.7712
36,3.7637
37,3.7507
38,3.7451
39,3.7358
40,3.7302
41,3.7247
42,3.7098
43,3.7023
44,3.6930
45,3.6949
46,3.6837
47,3.6819
48,3.6688
49,3.6633
50,3.6614
51,3.6800
52,3.6586
53,3.6484
54,3.6465
55,3.6372
56,3.6335
57,3.6223
58,3.6149
59,3.6130
60,3.6093
